"STATISTIC","Statistic Label","TLIST(M1)","Month","C02106V02545","Location","UNIT","VALUE"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M10","2019 October","-","State","%","102.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M10","2019 October","1","Urban areas","%","102.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M10","2019 October","5","Rural areas","%","101.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M11","2019 November","-","State","%","102.2"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M11","2019 November","1","Urban areas","%","102.5"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M11","2019 November","5","Rural areas","%","101.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M12","2019 December","-","State","%","102.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M12","2019 December","1","Urban areas","%","102.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2019M12","2019 December","5","Rural areas","%","101.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M01","2020 January","-","State","%","101.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M01","2020 January","1","Urban areas","%","102.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M01","2020 January","5","Rural areas","%","100.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M02","2020 February","-","State","%","102.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M02","2020 February","1","Urban areas","%","102.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M02","2020 February","5","Rural areas","%","101.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M03","2020 March","-","State","%","102.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M03","2020 March","1","Urban areas","%","103.2"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M03","2020 March","5","Rural areas","%","101.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M04","2020 April","-","State","%","102.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M04","2020 April","1","Urban areas","%","102.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M04","2020 April","5","Rural areas","%","101.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M05","2020 May","-","State","%","101.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M05","2020 May","1","Urban areas","%","102.2"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M05","2020 May","5","Rural areas","%","100.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M06","2020 June","-","State","%","102.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M06","2020 June","1","Urban areas","%","102.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M06","2020 June","5","Rural areas","%","101"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M07","2020 July","-","State","%","101.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M07","2020 July","1","Urban areas","%","102.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M07","2020 July","5","Rural areas","%","101"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M08","2020 August","-","State","%","101.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M08","2020 August","1","Urban areas","%","102.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M08","2020 August","5","Rural areas","%","100.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M09","2020 September","-","State","%","101.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M09","2020 September","1","Urban areas","%","101.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M09","2020 September","5","Rural areas","%","100.5"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M10","2020 October","-","State","%","100.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M10","2020 October","1","Urban areas","%","101.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M10","2020 October","5","Rural areas","%","100"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M11","2020 November","-","State","%","101.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M11","2020 November","1","Urban areas","%","101.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M11","2020 November","5","Rural areas","%","100.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M12","2020 December","-","State","%","101.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M12","2020 December","1","Urban areas","%","101.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2020M12","2020 December","5","Rural areas","%","100.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M01","2021 January","-","State","%","101.5"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M01","2021 January","1","Urban areas","%","101.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M01","2021 January","5","Rural areas","%","100.5"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M02","2021 February","-","State","%","101.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M02","2021 February","1","Urban areas","%","102.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M02","2021 February","5","Rural areas","%","100.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M03","2021 March","-","State","%","102.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M03","2021 March","1","Urban areas","%","103.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M03","2021 March","5","Rural areas","%","101.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M04","2021 April","-","State","%","103.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M04","2021 April","1","Urban areas","%","103.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M04","2021 April","5","Rural areas","%","102.5"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M05","2021 May","-","State","%","103.5"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M05","2021 May","1","Urban areas","%","103.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M05","2021 May","5","Rural areas","%","102.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M06","2021 June","-","State","%","103.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M06","2021 June","1","Urban areas","%","104"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M06","2021 June","5","Rural areas","%","102.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M07","2021 July","-","State","%","104.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M07","2021 July","1","Urban areas","%","104.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M07","2021 July","5","Rural areas","%","103.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M08","2021 August","-","State","%","104.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M08","2021 August","1","Urban areas","%","105.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M08","2021 August","5","Rural areas","%","104"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M09","2021 September","-","State","%","105.2"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M09","2021 September","1","Urban areas","%","105.5"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M09","2021 September","5","Rural areas","%","104.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M10","2021 October","-","State","%","105.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M10","2021 October","1","Urban areas","%","106.2"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M10","2021 October","5","Rural areas","%","105.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M11","2021 November","-","State","%","106.5"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M11","2021 November","1","Urban areas","%","106.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M11","2021 November","5","Rural areas","%","105.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M12","2021 December","-","State","%","107"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M12","2021 December","1","Urban areas","%","107.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2021M12","2021 December","5","Rural areas","%","106.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M01","2022 January","-","State","%","106.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M01","2022 January","1","Urban areas","%","106.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M01","2022 January","5","Rural areas","%","105.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M02","2022 February","-","State","%","107.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M02","2022 February","1","Urban areas","%","107.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M02","2022 February","5","Rural areas","%","106.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M03","2022 March","-","State","%","109.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M03","2022 March","1","Urban areas","%","109.8"
