"STATISTIC","Statistic Label","TLIST(A1)","Year","C01779V03424","Commodity Group","UNIT","VALUE"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1984","1984","09","Recreation and culture","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1984","1984","10","Education","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1984","1984","11","Restaurants and hotels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1984","1984","12","Miscellaneous goods and services","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1985","1985","-","All items","Base Dec 2023=100","41.1"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1985","1985","01","Food and non-alcoholic beverages","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1985","1985","02","Alcoholic beverages and tobacco","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1985","1985","03","Clothing and footwear","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1985","1985","04","Housing, water, electricity, gas and other fuels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1985","1985","05","Furnishings, household equipment and routine household maintenance","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1985","1985","06","Health","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1985","1985","07","Transport","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1985","1985","08","Communications","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1985","1985","09","Recreation and culture","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1985","1985","10","Education","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1985","1985","11","Restaurants and hotels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1985","1985","12","Miscellaneous goods and services","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1986","1986","-","All items","Base Dec 2023=100","42.6"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1986","1986","01","Food and non-alcoholic beverages","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1986","1986","02","Alcoholic beverages and tobacco","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1986","1986","03","Clothing and footwear","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1986","1986","04","Housing, water, electricity, gas and other fuels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1986","1986","05","Furnishings, household equipment and routine household maintenance","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1986","1986","06","Health","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1986","1986","07","Transport","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1986","1986","08","Communications","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1986","1986","09","Recreation and culture","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1986","1986","10","Education","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1986","1986","11","Restaurants and hotels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1986","1986","12","Miscellaneous goods and services","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1987","1987","-","All items","Base Dec 2023=100","44"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1987","1987","01","Food and non-alcoholic beverages","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1987","1987","02","Alcoholic beverages and tobacco","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1987","1987","03","Clothing and footwear","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1987","1987","04","Housing, water, electricity, gas and other fuels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1987","1987","05","Furnishings, household equipment and routine household maintenance","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1987","1987","06","Health","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1987","1987","07","Transport","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1987","1987","08","Communications","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1987","1987","09","Recreation and culture","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1987","1987","10","Education","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1987","1987","11","Restaurants and hotels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1987","1987","12","Miscellaneous goods and services","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1988","1988","-","All items","Base Dec 2023=100","44.9"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1988","1988","01","Food and non-alcoholic beverages","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1988","1988","02","Alcoholic beverages and tobacco","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1988","1988","03","Clothing and footwear","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1988","1988","04","Housing, water, electricity, gas and other fuels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1988","1988","05","Furnishings, household equipment and routine household maintenance","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1988","1988","06","Health","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1988","1988","07","Transport","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1988","1988","08","Communications","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1988","1988","09","Recreation and culture","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1988","1988","10","Education","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1988","1988","11","Restaurants and hotels","Base Dec 2023=100",""
